  League,  Season, Date,  Opposition, Location, Result,  Guildford Points, Opposition Points,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 
 National 3 LSE, 2016-17,24/09/2016, Hertford, Away, Lose,14 ,33 , M Watkinson, B Holden, B Mairs, M Scott, R Mitchell, J Taylor, J Garner, A Burrill, B Smith, J Burden, A Jordan, S Flannery, L Rust, N Clarke, D Paton, R Crabtree, M Kippenberger, R Voller
 Regional 2 South Central, 2025-26,25/10/2025, Winchester, Away, Lose,14 ,45 , J Karimian,J Jones, R Brooker, M Naeem, H Cole, J Meade, Josh Jones, O Millward, L Driscoll, J Gwyther, C King, T Devereux, L Bounds, S Poole, W Craven, W St Pier, J Curtis, H Kwan
 Regional 2 South Central, 2025-26,18/10/2025, Tottonians, Home, Win,34 ,32 , O Hirst,J Jones, R Brooker, J Smith, B Bushell, J Jones, T Devereux, O Millward, L Driscoll, J Gwyther, A Jordan, T Pickford, L Bounds, S Poole, W Craven, J Meade, T Roaf, H Cole
 Regional 2 South Central, 2025-26,11/10/2025, Elingham & Ringwood, Away, Win,36 ,24 , O Hirst,J Jones, J Delderfield, T Roaf, J Smith, J Ball, Josh Jones, T Devereux, L Driscoll, J Gwyther, A Jordan, T Pickford, L Bounds, S Poole, W Craven, R Brooker, C Adams, H Kwan
 Regional 2 South Central, 2025-26,04/10/2025, Havant 2's, Home, Lose,14 ,29 , J Jones,C Coy, P Wood, A Burrill, M Naeem, H Cole, Jo Jones, J Smith, L Driscoll, J Gwyther, C Adams, T Devereux, L Bounds, S Poole, W Craven, R Brooker, H Kwan, L Ellis-Jones
 Regional 2 South Central, 2025-26,20/09/2025, Petersfield, Away, Lose,7 ,43 , J Delderfield,J Jones, J Karimian, A Burrill, J Smith, C Coy, J Jones, O Millward, C Cuervo, L Driscoll, B Bushell, C Gibbons, L Bounds, S Poole, L Ellis-Jones, C Daniel, O Armitage, H Kwan
 Regional 2 South Central, 2025-26,13/09/2025, Reeds Weybridge, Home, Win,51 ,12 , P Wood,C Coy, J Karimian, M Naeem, J Smith, O Rooken-Smith, M Dandy, O Millward, C Cuervo, J Gwyther, L Ellis-Jones, T Pickford, L Bounds, S Poole, C Gibbons, J Jones, C Daniel, H Kwan
 Regional 2 South Central, 2025-26,06/09/2025, Bournemouth, Away, Lose,-  ,50 , P Wood,C Coy, J Karimian, J Curtis, A Burrill, O Millward, T Devereux, J Smith, C Cuervo, J Gwyther, S Tatchell, T Pickford, C Gibbons, B Bushell, S Poole, J Jones, O Hirst, H Kwan
 Regional 2 South Central, 2024-25,05/04/2025, Andover, Home, Win,29 ,19 , J Delderfield,J Jones, J Karimian, J Smith, A Burrill, C Coy, O Millward, J Brodley, L Driscoll, J Gwyther, S Poole, T Devereux, R Voller, L Bounds, C Gibbons, P Wood, B Meager, C Cuervo
 Regional 2 South Central, 2024-25,22/03/2025, Wimborne, Away, Lose,32 ,38 , J Delderfield,J Jones, J Karimian, J Curtis, A Burrill, C Coy, O Millward, J Brodley, L Driscoll, J Gwyther, T Waddell, T Devereux, R Voller, L Bounds, W Craven, B Meager, J Smith, L Ellis-Jones
